Tournament_id_female,Tournament_id_male,Tournament,City,Year,Level,Male/Female, Prize Pool Male , Prize Pool Female , Prize Male Winner , Prize Female Winner ,Attendance Tournament,Viewership Male Final,Viewership Female Final,Nr. Of Players
,,Australian_Open,Melbourne,2014,Grand_Slam,Both," € 15,800,000.00 "," € 15,800,000.00 "," € 2,240,000.00 "," € 2,240,000.00 ",643280,3900000,3200000,256
,,Roland_Garros,Paris,2014,Grand_Slam,Both," € 11,800,000.00 "," € 11,800,000.00 "," € 1,650,000.00 "," € 1,650,000.00 ",457000,4500000,3600000,256
,,US_Open,New York,2014,Grand_Slam,Both," € 10,400,000.00 "," € 10,400,000.00 "," € 1,750,000.00 "," € 1,750,000.00 ",713642,4800000,3700000,256
,,Wimbledon,London,2014,Grand_Slam,Both," € 10,400,000.00 "," € 10,400,000.00 "," € 1,800,000.00 "," € 1,800,000.00 ",491084,10000000,4300000,256
,,Cincinnati_Open,Cincinnati,2014,Masters,Both," € 3,300,000.00 "," € 3,300,000.00 "," € 530,000.00 "," € 475,000.00 ",193600,2000000,1600000,56
,,Indian_Wells,Indian Wells,2014,Masters,Both," € 4,400,000.00 "," € 4,400,000.00 "," € 880,000.00 "," € 880,000.00 ",431527,2400000,1900000,96
,,Madrid_Open,Madrid,2014,Masters,Both," € 4,100,000.00 "," € 4,100,000.00 "," € 720,000.00 "," € 720,000.00 ",210000,2400000,2400000,56
,,Miami_Open,Miami,2014,Masters,Both," € 4,600,000.00 "," € 4,600,000.00 "," € 835,000.00 "," € 835,000.00 ",320000,2400000,2400000,96
,,Monte_Carlo_Masters,Monte Carlo,2014,Masters,Male," € 2,800,000.00 ",," € 549,000.00 ",,150000,1900000,,56
,,Toronto_Montreal_Open,Toronto and Montreal,2014,Masters,Both," € 2,840,000.00 "," € 2,530,000.00 "," € 514,000.00 "," € 456,000.00 ",170000,2300000,2000000,56
,,Paris_Masters,Paris,2014,Masters,Male," € 3,250,000.00 ",," € 553,000.00 ",,140000,2200000,,56
,,Qatar_Open,Doha,2014,Masters,Both," € 1,350,000.00 "," € 700,000.00 "," € 220,000.00 "," € 100,000.00 ",72000,1400000,1000000,56
,,Rome_Open,Rome,2014,Masters,Both," € 3,400,000.00 "," € 2,430,000.00 "," € 550,000.00 "," € 400,000.00 ",189000,2600000,2000000,56
,,Shanghai_Masters,Shanghai,2014,Masters,Male," € 4,000,000.00 ",," € 745,000.00 ",,165000,2300000,,56
,,Acapulco,Acapulco,2014,ATP_500,Male," € 1,200,000.00 ",," € 316,000.00 ",,60000,1600000,,32
,,Basel_Open,Basel,2014,ATP_500,Male," € 1,842,000.00 ",," € 368,000.00 ",,70000,1700000,,32
,,Beijing_Open,Beijing,2014,ATP_500,Male," € 2,700,000.00 ",," € 500,000.00 ",,180000,2600000,,32
,,Hamburg_Open,Hamburg,2014,ATP_500,Male," € 1,322,000.00 ",," € 275,000.00 ",,67000,1400000,,48
,,Rio_De_Janeiro,Rio De Janeiro,2014,ATP_500,Male," € 1,250,000.00 ",," € 291,700.00 ",,55000,1200000,,32
,,Rotterdam_Open,Rotterdam,2014,ATP_500,Male," € 1,370,000.00 ",," € 329,000.00 ",,106000,1600000,,32
,,Dubai_Duty_Free_Open,Dubai,2014,ATP_500,Male," € 1,930,000.00 ",," € 470,000.00 ",,97000,1900000,,32
,,Barcelona_Open,Barcelona,2014,ATP 500,Male," € 2,328,000.00 ",," € 341,000.00 ",,105000,1700000,,48
,,Ningbo_Open,Ningbo,2014,WTA_500,Female,," € 100,000.00 ",," € 15,200.00 ",5000,,250000,32
,,Seoul_Open,Seoul,2014,WTA_500,Female,," € 250,000.00 ",," € 43,000.00 ",41500,,620000,32
,,Monterrey_Open,Monterrey,2014,WTA_500,Female,," € 250,000.00 ",," € 43,000.00 ",35000,,500000,32
,,Eastbourne_Open,Eastbourne,2014,WTA_500,Female,," € 710,000.00 ",," € 107,000.00 ",36000,,1000000,28
,,Strasbourg_Open,Strasbourg,2014,WTA_500,Female,," € 250,000.00 ",," € 43,000.00 ",17500,,700000,32
,,Stuttgart_Open,Stuttgart,2014,WTA_500,Female,," € 800,000.00 ",," € 120,000.00 ",31000,,900000,28
,,Charleston_Open,Charleston,2014,WTA_500,Female,," € 800,000.00 ",," € 120,000.00 ",29000,,700000,32
,,Brisbane_Open,Brisbane,2014,WTA_500,Female,," € 1,000,000.00 ",," € 196,670.00 ",105000,,950000,30
,,Sydney_Open,Sydney,2014,WTA_500,Female,," € 710,000.00 ",," € 107,000.00 ",86000,,1050000,30
,,Tokyo_Open,Tokyo,2014,WTA_500,Female,," € 2,040,000.00 ",," € 362,100.00 ",90000,,1400000,28
,,Moskow_Open,Moscow,2014,WTA_500,Female,," € 1,150,000.00 ",," € 187,500.00 ",68000,,550000,32
,,Australian_Open,Melbourne,2015,Grand_Slam,Both," € 16,900,000.00 "," € 16,900,000.00 "," € 2,470,000.00 "," € 2,470,000.00 ",703899,5000000,3700000,256
,,Roland_Garros,Paris,2015,Grand_Slam,Both," € 12,400,000.00 "," € 12,400,000.00 "," € 1,800,000.00 "," € 1,800,000.00 ",462000,4700000,3800000,256
,,US_Open,New York,2015,Grand_Slam,Both," € 12,250,000.00 "," € 12,250,000.00 "," € 2,000,000.00 "," € 2,000,000.00 ",691280,5100000,4100000,256
,,Wimbledon,London,2015,Grand_Slam,Both," € 11,100,000.00 "," € 11,100,000.00 "," € 2,000,000.00 "," € 2,000,000.00 ",486898,9200000,4100000,256
,,Cincinnati_Open,Cincinnati,2015,Masters,Both," € 3,700,000.00 "," € 3,700,000.00 "," € 565,000.00 "," € 500,000.00 ",198000,2200000,1700000,56
,,Indian_Wells,Indian Wells,2015,Masters,Both," € 5,100,000.00 "," € 5,100,000.00 "," € 900,000.00 "," € 900,000.00 ",456672,2500000,2000000,96
,,Madrid_Open,Madrid,2015,Masters,Both," € 4,273,000.00 "," € 4,273,000.00 "," € 800,000.00 "," € 800,000.00 ",220000,2500000,2500000,56
,,Miami_Open,Miami,2015,Masters,Both," € 4,800,000.00 "," € 4,800,000.00 "," € 900,000.00 "," € 900,000.00 ",330000,2500000,2500000,96
,,Monte_Carlo_Masters,Monte Carlo,2015,Masters,Male," € 2,900,000.00 ",," € 573,000.00 ",,155000,2000000,,56
,,Toronto_Montreal_Open,Toronto and Montreal,2015,Masters,Both," € 3,200,000.00 "," € 2,530,000.00 "," € 685,000.00 "," € 456,000.00 ",163000,2500000,2000000,56
,,Paris_Masters,Paris,2015,Masters,Male," € 3,350,000.00 ",," € 580,000.00 ",,145000,2300000,,56
,,Qatar_Open,Doha,2015,Masters,Both," € 1,400,000.00 "," € 710,000.00 "," € 225,000.00 "," € 102,000.00 ",75000,1500000,1100000,56
,,Rome_Open,Rome,2015,Masters,Both," € 3,800,000.00 "," € 2,700,000.00 "," € 600,000.00 "," € 420,000.00 ",200000,2700000,2100000,56
